TIME,COUNTRY,AGE,VALUE
2008,Norway,From 55 to 64 years,38935
2008,Norway,Less than 60 years,32454
2008,Norway,60 years or over,28993
2008,Norway,Less than 65 years,32795
2008,Norway,From 65 to 74 years,0
2008,Norway,65 years or over,26720
2008,Norway,Less than 75 years,32487
2008,Norway,75 years or over,23587
2008,Switzerland,Total,26987
2008,Switzerland,Less than 6 years,23365
2008,Switzerland,From 6 to 11 years,22941
2008,Switzerland,From 11 to 15 years,0
2008,Switzerland,From 12 to 17 years,23162
2008,Switzerland,Less than 16 years,22859
2008,Switzerland,From 16 to 24 years,26186
2008,Switzerland,From 16 to 64 years,29074
2008,Switzerland,16 years or over,27998
2008,Switzerland,Less than 18 years,23140
