TIME,SEX,COUNTRY,SIZECLAS,VALUE
2018,Males,Germany (until 1990 former territory of the FRG),Education; human health and social work activities; arts entertainment and recreation; other service activities,3935
2018,Males,Germany (until 1990 former territory of the FRG),Education,4079
2018,Males,Germany (until 1990 former territory of the FRG),Human health and social work activities,4041
2018,Males,Germany (until 1990 former territory of the FRG),Arts entertainment and recreation,3471
2018,Males,Germany (until 1990 former territory of the FRG),Other service activities,3508
2018,Males,Estonia,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),1577
2018,Males,Estonia,Industry construction and services (except public administration defense compulsory social security),1573
2018,Males,Estonia,Business economy,1577
2018,Males,Estonia,Industry and construction,1521
2018,Males,Estonia,Industry (except construction),1546
2018,Males,Estonia,Mining and quarrying,1745
2018,Males,Estonia,Manufacturing,1525
2018,Males,Estonia,Electricity gas steam and air conditioning supply,1811
2018,Males,Estonia,Water supply; sewerage waste management and remediation activities,1354
2018,Males,Estonia,Construction,1447
2018,Males,Estonia,Services (except activities of households as employers and extra-territorial organisations and bodies),1617
2018,Males,Estonia,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),1616
2018,Males,Estonia,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,1626
2018,Males,Estonia,Wholesale and retail trade; repair of motor vehicles and motorcycles,1542
2018,Males,Estonia,Transportation and storage,1391
2018,Males,Estonia,Accommodation and food service activities,1118
2018,Males,Estonia,Information and communication,2459
2018,Males,Estonia,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,1658
2018,Males,Estonia,Financial and insurance activities,2789
2018,Males,Estonia,Real estate activities,1385
2018,Males,Estonia,Professional scientific and technical activities,2052
2018,Males,Estonia,Administrative and support service activities,1271
2018,Males,Estonia,Public administration and defence; compulsory social security; education; human health and social work activities; arts entertainment and recreation; other service activities,1578
2018,Males,Estonia,Public administration and defence; compulsory social security,1621
2018,Males,Estonia,Education; human health and social work activities; arts entertainment and recreation; other service activities,1546
2018,Males,Estonia,Education,1450
2018,Males,Estonia,Human health and social work activities,1986
2018,Males,Estonia,Arts entertainment and recreation,1317
2018,Males,Estonia,Other service activities,1261
2018,Males,Ireland,Industry construction and services (except activities of households as employers and extra-territorial organisations and bodies),4117
2018,Males,Ireland,Industry construction and services (except public administration defense compulsory social security),4092
2018,Males,Ireland,Business economy,4044
2018,Males,Ireland,Industry and construction,4121
2018,Males,Ireland,Industry (except construction),4276
2018,Males,Ireland,Mining and quarrying,0
2018,Males,Ireland,Manufacturing,4198
2018,Males,Ireland,Electricity gas steam and air conditioning supply,0
2018,Males,Ireland,Water supply; sewerage waste management and remediation activities,3494
2018,Males,Ireland,Construction,3664
2018,Males,Ireland,Services (except activities of households as employers and extra-territorial organisations and bodies),4116
2018,Males,Ireland,Services (except public administration defense compulsory social security activities of households as employers and extra-territorial organisations and bodies),4081
2018,Males,Ireland,Wholesale and retail trade; transport; accommodation and food service activities; information and communication,3731
2018,Males,Ireland,Wholesale and retail trade; repair of motor vehicles and motorcycles,3471
2018,Males,Ireland,Transportation and storage,3704
2018,Males,Ireland,Accommodation and food service activities,2278
2018,Males,Ireland,Information and communication,6034
2018,Males,Ireland,Financial and insurance activities; real estate activities; professional scientific and technical activities; administrative and support service activities,4526
2018,Males,Ireland,Financial and insurance activities,6080
2018,Males,Ireland,Real estate activities,4611
2018,Males,Ireland,Professional scientific and technical activities,5025
